Observation,power,water,hotwater,prediction,gas,electricity,heating
2008,-1679.910799235792,6558.391984868614,0.29005000000000014,0,0.5741,0.1778,0.694
6295,-3561.894101866668,5621.947292043715,0.3463999999999989,1,0.6492,0.377,0.5949
4379,-5298.450591290824,8545.846885989464,0.2772999999999986,1,0.5016,0.5607,0.9043
9242,-8141.870790897404,1683.0658343301154,0.0314,0,0.0628,0.8616,0.1781
5118,-302.638755092626,6829.6861422255715,0.3966500000000077,1,0.6841,0.0321,0.7227
1708,-2212.78739696863,6439.335710907022,0.2652499999999994,1,0.4355,0.2342,0.6814
2402,-321.9389890547833,7292.6745742984285,0.4517500000000025,0,0.8935,0.0341,0.7717
9185,-3679.2155524320438,3980.4075724303457,0.3520499999999998,1,0.6125,0.3894,0.4212
1569,,7676.511923730223,0.1627000000000024,1,0.294,,0.8123
7692,,,0.4296499999999956,1,0.7885,,
5217,-3572.4692305458543,5278.06593393245,0.24080000000000013,1,0.4756,0.3781,0.5585
7858,-8659.787201460516,6733.21824901857,0.4133500000000097,0,0.8107,0.9164,0.7125
9225,,9031.678998816908,0.1183000000000035,1,0.197,,0.9557
1963,-4051.570161486544,4403.002801484563,0.168599999999998,1,0.2898,0.4288,0.4659
8507,-1899.233513196818,3636.4206143190813,0.1051999999999925,0,0.204,0.201,0.3848
8612,-4914.33584185903,9018.253335043399,0.1693,1,0.3386,0.5201,0.9543
8026,-2654.6828716831133,8655.415542969977,0.2772499999999925,1,0.5481,0.281,0.9159
4542,-105.2913101880812,3080.8069358316543,0.1864999999999939,1,0.2946,0.0112,0.326
8797,-3631.3999558285423,5363.900798460267,0.179599999999998,0,0.3362,0.3843,0.5676
4035,,310.908848677489,0.2185,0,0.437,,0.0329
1624,-2716.5486320601244,22.688880754588865,0.0516000000000061,0,0.1024,0.2875,0.0024
4736,-2311.0967486812683,5346.907263822013,0.3169590865842058,0,0.6224,0.2446,0.5658
48,-7592.858994296731,1780.402039235226,0.3447,0,0.6894,0.8035,0.1884
5868,-2089.140864516499,6620.751956943733,0.17595,0,0.3519,0.2211,0.7006
5504,-8449.304604480569,9274.46540523063,0.1485999999999987,1,0.162,0.8942,0.9814
8276,-1983.0495543284183,5331.765900724599,0.25365,0,0.5073,0.2099,0.5642
5551,-4069.2153837505934,4965.214361858746,0.0667499999999954,1,0.0259,0.4307,0.5254
7736,,2546.892526400708,0.1176999999999947,1,0.1364,,0.2695
5422,-7510.232976561347,7682.977305616978,0.0413000000000082,1,0.0744,0.7948,0.813
382,,8199.905704481982,0.31094999999999773,1,0.5895,,0.8677
2442,-3952.553933185218,5562.46395506292,0.3905999999999954,1,0.7468,0.4183,0.5886
7878,-9420.49161843735,8456.933686367323,0.4791500000000013,1,0.8375,0.9969,0.8949
481,-9022.651693533937,4720.355332048807,0.503449999999999,1,0.8841,0.9548,0.4995
2355,-2734.7138543241745,245.70304150804603,0.41555,0,0.8311,0.2894,0.026
8764,-3374.1867739432014,,0.480850000000001,1,0.8315,0.3571,
1753,-6771.633828640993,2291.6572679115834,0.4632000000000041,1,0.8324,0.7166,0.2425
3585,,6738.098007509108,0.2131500000000019,1,0.4219,,0.713
4186,,6817.397090150171,0.11650000000001069,1,0.2178,,0.7214
8311,,5957.403144872008,0.4327999999999998,1,0.7252,,0.6304
9619,-8162.541048255775,5548.178879591301,0.17709999999999052,0,0.3522,0.8638,0.5871
8277,-2478.1456841369404,6324.989095435971,0.0756999999999964,0,0.1362,0.2623,0.6693
7119,-6745.099452836599,3571.2232377126415,0.44498900804290153,0,0.8678,0.7138,0.3779
6689,-9093.197570892029,117.23975056537577,0.4637000000000061,1,0.8534,0.9623,0.0124
1702,-2298.5234614964465,1752.0789882919898,0.3734499999999956,1,0.6791,0.2433,0.1854
5581,,1022.5275573527148,0.2594499999999968,1,0.4857,,0.1082
5913,-3760.6265584693206,6743.732277697756,0.1174,1,0.2348,0.398,0.7136
7628,-3501.463353187764,2909.72351847413,0.2331000000000025,1,0.4592,0.3706,0.3079
3103,,4238.466966013794,0.2691000000000009,1,0.4384,,0.4485
4563,-3397.9420663958986,7175.473823733052,0.13045,0,0.2609,0.3596,0.7593
9164,-5037.017362613052,2652.6667365887897,0.0462999999999889,1,0.077,0.5331,0.2807
4283,-1506.3486467839437,3677.04051733772,0.35315,1,0.7063,0.1594,0.3891
6026,,3089.2434411146255,0.4797999999999929,0,0.9566,,0.3269
4146,-4023.0298105433076,9143.975290891745,0.30990000000000306,1,0.6042,0.4258,0.9676
5901,-1646.7453898020167,2303.9656199869855,0.0271999999999907,0,0.0404,0.1743,0.2438
1381,,839.209487919788,0.1936000000000001,1,0.305,,0.0888
5269,-2123.131285648383,7258.634853166545,0.12925,0,0.2585,0.2247,0.7681
8800,-5011.642046764139,4826.29534223689,0.3236000000000093,1,0.329,0.5304,0.5107
1977,-5610.4344516664205,8709.227809762124,0.4166,0,0.8332,0.5937,0.9216
3915,-3665.370376960426,4229.883360730824,0.4434500000000052,0,0.8823,0.3879,0.4476
4375,-5977.624002230383,1671.826693952821,0.0549999999999922,0,0.0942,0.6326,0.1769
5280,-6868.910033546103,3911.4295184684715,0.28470000000000556,0,0.5468,0.7269,0.4139
8166,-4047.7701146941126,4932.04605242497,0.2494499999999937,1,0.4265,0.4284,0.5219
2674,-2424.510017344793,8176.344512029285,0.1205000000000047,1,0.239,0.2566,0.8652
7858,-7145.878461091709,5275.065198838128,0.30630000000000973,0,0.5966,0.7562,0.5582
